username,repo_name,stars,repo_url
sindresorhus,awesome,349000,https://github.com/sindresorhus/awesome
vinta,awesome-python,235000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,218000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,159000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,139000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,99000,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,91100,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,89400,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,80100,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,73400,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,72000,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,67000,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,62100,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,60700,https://github.com/binhnguyennus/awesome-scalability
sindresorhus,awesome-nodejs,59700,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,59200,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,54900,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,51700,https://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,49700,https://github.com/tiimgreen/github-cheat-sheet
rust-unofficial,awesome-rust,48900,https://github.com/rust-unofficial/awesome-rust
