username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,113000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,97100,https://github.com/angular/angular
storybookjs,storybook,86000,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,64700,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,51500,https://github.com/ionic-team/ionic-framework
prettier,prettier,50000,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,44000,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,35400,https://github.com/SheetJS/sheetjs
wailsapp,wails,27000,https://github.com/wailsapp/wails
angular,angular-cli,26800,https://github.com/angular/angular-cli
paperless-ngx,paperless-ngx,25300,https://github.com/paperless-ngx/paperless-ngx
sudheerj,javascript-interview-questions,25100,https://github.com/sudheerj/javascript-interview-questions
nrwl,nx,24800,https://github.com/nrwl/nx
NativeScript,NativeScript,24600,https://github.com/NativeScript/NativeScript
angular,components,24600,https://github.com/angular/components
goldbergyoni,javascript-testing-best-practices,24300,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,22100,https://github.com/pubkey/rxdb
jhipster,generator-jhipster,21800,https://github.com/jhipster/generator-jhipster
teambit,bit,18000,https://github.com/teambit/bit
jasontaylordev,CleanArchitecture,17700,https://github.com/jasontaylordev/CleanArchitecture
